colonna_a,colonna_b,via,zona,numeri,citta,nome_completo
"VIA DEL","DEL","BOTTALE","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEL BOTTALE"
"VIA DEI","DEI","BOTTALI","8 - A","TUTTI","SAN MINIATO","VIA DEI BOTTALI"
"VIA","","BOTTICELLI","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BOTTICELLI"
"VIA","","BOTTICELLI SANDRO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  BOTTICELLI SANDRO"
"VIA","","BOTTICELLI SANDRO","9 - A","TUTTI","SAN MINIATO","VIA  BOTTICELLI SANDRO"
"VIA","","BOUJDOUR","10 - B","TUTTI","SAN MINIATO","VIA  BOUJDOUR"
"VIA","","BRODOLINI GIACOMO","17 - B","TUTTI","SANTA MARIA A MONTE","VIA  BRODOLINI GIACOMO"
"VIA","","BRUNELLESCHI","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  BRUNELLESCHI"
"VIA","","BRUNELLESCHI FILIPPO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  BRUNELLESCHI FILIPPO"
"VIA","","BRUNELLI ANTONIO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  BRUNELLI ANTONIO"
"VIA DEL","DEL","BRUNO","16 - B","TUTTI","SANTA MARIA A MONTE","VIA DEL BRUNO"
"VIA","","BRUNO GIORDANO","9 - A","TUTTI","SAN MINIATO","VIA  BRUNO GIORDANO"
"VIA","","BRUNO GIORDANO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  BRUNO GIORDANO"
"VIA","","BUCCIANO","14 - A","TUTTI","SAN MINIATO","VIA  BUCCIANO"
"VIA","","BUECCHIO","14 - A","TUTTI","SAN MINIATO","VIA  BUECCHIO"
"VIA","","BUGATTI ETTORE","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  BUGATTI ETTORE"
"VIA","","BULIGNANO","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  BULIGNANO"
"PIAZZA","","BUONAPARTE","12 - B","TUTTI","SAN MINIATO","PIAZZA  BUONAPARTE"
"VIA","","BUONARROTI MICHELANGELO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  BUONARROTI MICHELANGELO"
"PIAZZA","","BUONCRISTIANI DINA","7 - B","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  BUONCRISTIANI DINA"
"VIA","","BUONI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  BUONI"
